adr_id,repositoryUrl,path,title,wordCount,status,llm_topic,content_preview
ADR_00001,https://github.com/bbc/digital-paper-edit-infrastructure.git,docs/adr/2019-04-23-transcript-architecture.md,Architecture for Digital Paper Edit,1577,Accepted <!-- optional -->,"infrastructure_and_deployment, microservices_and_modularity, technology_choice, performance_and_scalability",# Architecture for Digital Paper Edit * Status: Accepted <!-- optional --> * De
ADR_00002,https://github.com/sul-dlss-labs/infrastructure-adrs.git,/0004-remove-workflow-datastream.md,(sem título),98,,"data_persistence, microservices_and_modularity",--- layout: default title: ADR-0004 nav_order: 7 permalink: records/0004/ --- # 
ADR_00003,https://github.com/sul-dlss-labs/infrastructure-adrs.git,/0000-use-madr-as-record-format.md,(sem título),233,decided,governance_and_process,--- layout: default title: ADR-0000 nav_order: 3 permalink: records/0000/ --- # 
ADR_00004,https://github.com/sul-dlss-labs/infrastructure-adrs.git,/0009-create-provenance-service.md,(sem título),235,,microservices_and_modularity,--- layout: default title: ADR-0009 nav_order: 12 permalink: records/0009/ --- #
ADR_00005,https://github.com/sul-dlss-labs/infrastructure-adrs.git,/0002-extract-only-useful-technical-metadata.md,(sem título),552,,"data_persistence, performance_and_scalability",--- layout: default title: ADR-0002 nav_order: 5 permalink: records/0002/ --- # 
ADR_00006,https://github.com/sul-dlss-labs/infrastructure-adrs.git,/0011-use-api-tokens.md,(sem título),1326,,"security, api_and_contracts",--- layout: default title: ADR-0011 nav_order: 14 permalink: records/0011/ --- #
ADR_00007,https://github.com/sul-dlss-labs/infrastructure-adrs.git,/0012-dor-datastore.md,(sem título),530,,"data_persistence, technology_choice",--- layout: default title: ADR-0012 nav_order: 15 permalink: records/0012/ --- #
ADR_00008,https://github.com/sul-dlss-labs/infrastructure-adrs.git,/0003-extract-technical-metadata-on-per-file-basis.md,(sem título),283,,"performance_and_scalability, architecture_patterns",--- layout: default title: ADR-0003 nav_order: 6 permalink: records/0003/ --- # 
ADR_00009,https://github.com/sul-dlss-labs/infrastructure-adrs.git,/0006-replace-assembly-wf-with-deposit-api.md,(sem título),365,,"api_and_contracts, microservices_and_modularity",--- layout: default title: ADR-0006 nav_order: 9 permalink: records/0006/ --- # 
ADR_00010,https://github.com/sul-dlss-labs/infrastructure-adrs.git,/0007-change-dor-from-registry-to-repository.md,(sem título),240,,others,--- layout: default title: ADR-0007 nav_order: 10 permalink: records/0007/ --- #
ADR_00011,https://github.com/sul-dlss-labs/infrastructure-adrs.git,/0005-use-deposit-api-in-etd-application.md,(sem título),238,,api_and_contracts,--- layout: default title: ADR-0005 nav_order: 8 permalink: records/0005/ --- # 
ADR_00012,https://github.com/sul-dlss-labs/infrastructure-adrs.git,/0010-message-broker.md,(sem título),798,drafted,"microservices_and_modularity, technology_choice, performance_and_scalability",--- layout: default title: ADR-0010 nav_order: 13 permalink: records/0010/ --- #
ADR_00013,https://github.com/sul-dlss-labs/infrastructure-adrs.git,/0001-migrate-off-fedora-3.md,(sem título),679,,"data_persistence, technology_choice, performance_and_scalability",--- layout: default title: ADR-0001 nav_order: 4 permalink: records/0001/ --- # 
ADR_00014,https://github.com/sul-dlss-labs/infrastructure-adrs.git,/0008-separate-dor-index-from-argo-index.md,(sem título),238,,"data_persistence, microservices_and_modularity",--- layout: default title: ADR-0008 nav_order: 11 permalink: records/0008/ --- #
ADR_00015,https://github.com/robertlcs/react-native-app.git,doc/adr/0003-set-environment-variables.md,3. Set environment variables,112,Accepted,"security, governance_and_process",# 3. Set environment variables Date: 2018-09-01 ## Status Accepted ## Contex
ADR_00016,https://github.com/robertlcs/react-native-app.git,doc/adr/0004-use-amplitude-for-analytics.md,4. Use Amplitude for analytics,33,Accepted,technology_choice,# 4. Use Amplitude for analytics Date: 2018-09-01 ## Status Accepted ## Cont
ADR_00017,https://github.com/robertlcs/react-native-app.git,doc/adr/0008-use-nativebase.md,8. Use NativeBase,35,,technology_choice,# 8. Use NativeBase Date: 2018-10-08 ## Status Accepted ## Context We want 
ADR_00018,https://github.com/robertlcs/react-native-app.git,doc/adr/0006-make-tabs-swipeable.md,6. Make tabs swipeable,51,Accepted,technology_choice,# 6. Make tabs swipeable Date: 2018-09-12 ## Status Accepted ## Context To 
ADR_00019,https://github.com/robertlcs/react-native-app.git,doc/adr/0002-use-redux-persist-to-store-a-user-data.md,2. Use redux-persist to store a user data,56,Accepted,"data_persistence, technology_choice",# 2. Use redux-persist to store a user data Date: 2018-08-30 ## Status Accept
ADR_00020,https://github.com/robertlcs/react-native-app.git,doc/adr/0007-detach-from-expo.md,7. Detach from Expo,88,Accepted,"performance_and_scalability, technology_choice",# 7. Detach from Expo Date: 2018-10-02 ## Status Accepted ## Context The si
ADR_00021,https://github.com/robertlcs/react-native-app.git,doc/adr/0001-record-architecture-decisions.md,1. Record architecture decisions,45,Accepted,governance_and_process,# 1. Record architecture decisions Date: 2018-08-30 ## Status Accepted ## Co
ADR_00022,https://github.com/robertlcs/react-native-app.git,doc/adr/0005-tracking-js-errors.md,5. Tracking JS errors,27,Accepted,observability,# 5. Tracking JS errors Date: 2018-09-06 ## Status Accepted ## Context We n
ADR_00023,https://github.com/anton-liauchuk/educational-platform.git,docs/architecture-decisions/0010-use-axon-framework.md,10. Axon Framework.,40,,"technology_choice, architecture_patterns",# 10. Axon Framework. Date: 2020-07-06 ## Status Accepted ## Context Currently
ADR_00024,https://github.com/anton-liauchuk/educational-platform.git,docs/architecture-decisions/0008-result-from-comand-handlers.md,8. Results from command handlers.,48,,architecture_patterns,# 8. Results from command handlers. Date: 2020-05-14 ## Status Accepted ## Con
ADR_00025,https://github.com/anton-liauchuk/educational-platform.git,docs/architecture-decisions/0001-bounded-contexts-communication.md,1. Communications between bounded contexts.,139,Accepted,"microservices_and_modularity, architecture_patterns",# 1. Communications between bounded contexts. Date: 2020-02-29 ## Status Accept
ADR_00026,https://github.com/anton-liauchuk/educational-platform.git,docs/architecture-decisions/0004-validation.md,4. Validation.,111,,architecture_patterns,# 4. Validation. Date: 2020-03-25 ## Status Accepted ## Context There are poss
